Program name,Credit Points,Program Code,Course name,Plan code,Duration,Campus,CRICOS Code
Applied Industry Engagement,12,VART3707,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Fieldwork,12,VART3709,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Themes in Contemporary Creative Practice A,12,VART3711,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Themes in Contemporary Creative Practice B,12,VART3713,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Practicing on Country / with Country,12,VART3715,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Cultural Planning and Evaluation,12,VART3717,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Industry Partnered Studio,12,VART3739,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Studio Skills Specialisation,12,VART3741,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Working in First Peoples contexts: creative partnerships and cultural production,12,OART1103,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Working in Transnational Contexts: Exchange and Collaboration,12,OART1104,Master of Arts (Art in Public Space),MC281,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103235B
Principles of Arts Management,24,PERF1025,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Arts Management Project 1,24,OART1060,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Arts Management Project 2,24,OART1062,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Community Arts Management,24,PERF1026,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Cultural Policy and Practice,24,PERF1029,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Curating Contemporary Art,24,VART3413,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Expanded Curating,24,OART1064,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Gallery and Museum Management,24,OTED2104,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Museum Education,24,OART1061,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
The Law and Arts Management,24,PERF1034,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Art Global Intensive 1,12,HUSO2398,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Art Global Intensive 2,12,VART3675,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Photography Global Intensive 1,12,VART3703,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Photography Global Intensive 2,12,VART3705,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Arts Management Fundamentals,12,OART1066,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Business Skills for the Creative Industries,12,BUSM3323,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Critical Frameworks A,12,VART3615,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Introduction to Curating Contemporary Art,12,OART1067,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Digital Imaging Strategies,12,VART3638,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Internship,12,VART3640,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Strategies for Creative Research,12,VART3613,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Masters Symposium,12,VART3614,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Open Project Intensive,24,VART3723,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Applied Industry Engagement,12,VART3707,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Fieldwork,12,VART3709,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Themes in Contemporary Creative Practice A,12,VART3711,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Themes in Contemporary Creative Practice B,12,VART3713,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Practicing on Country / with Country,12,VART3715,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Cultural Planning and Evaluation,12,VART3717,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Industry Partnered Studio,12,VART3739,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Studio Skills Specialisation,12,VART3741,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Working in First Peoples contexts: creative partnerships and cultural production,12,OART1103,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Working in Transnational Contexts: Exchange and Collaboration,12,OART1104,Master of Arts (Arts Management),MC280,"2 years full-time, 4 years part-time, reduced duration available",City Campus,103234C
Fine Art Studio 1,24,VART3622,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Fine Art Studio 2,24,VART3623,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Critical Frameworks A,12,VART3615,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Strategies for Creative Research,12,VART3613,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Fine Art Studio 3,24,VART3624,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Fine Art Studio 4,24,VART3619,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Language of Creative Practice,12,VART3621,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Professional Creative Practice,12,VART3620,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Art Global Intensive 1,12,HUSO2398,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Art Global Intensive 2,12,VART3675,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Photography Global Intensive 1,12,VART3703,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Photography Global Intensive 2,12,VART3705,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Internship,12,VART3640,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Arts Management Fundamentals,12,OART1066,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Introduction to Curating Contemporary Art,12,OART1067,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Digital Imaging Strategies,12,VART3638,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Critical Frameworks B,12,VART3616,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Critical Frameworks C,12,VART3617,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Masters Symposium,12,VART3614,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Applied Industry Engagement,12,VART3707,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Fieldwork,12,VART3709,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Themes in Contemporary Creative Practice A,12,VART3711,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Themes in Contemporary Creative Practice B,12,VART3713,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Practicing on Country / with Country,12,VART3715,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Cultural Planning and Evaluation,12,VART3717,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Industry Partnered Studio,12,VART3739,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Studio Skills Specialisation,12,VART3741,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Working in First Peoples contexts: creative partnerships and cultural production,12,OART1103,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Working in Transnational Contexts: Exchange and Collaboration,12,OART1104,Master of Fine Art,MC266,"2 years full-time, 3 years reduced study load, reduced duration available",City Campus,092466D
Photography Studio 1,24,VART3634,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Photography Studio 2,24,VART3635,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Critical Frameworks A,12,VART3615,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Strategies for Creative Research,12,VART3613,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Photography Studio 3,24,VART3636,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Photography Studio 4,24,VART3637,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Language of Creative Practice,12,VART3621,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Professional Creative Practice,12,VART3620,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Art Global Intensive 1,12,HUSO2398,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Art Global Intensive 2,12,VART3675,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Photography Global Intensive 1,12,VART3703,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Photography Global Intensive 2,12,VART3705,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Internship,12,VART3640,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Arts Management Fundamentals,12,OART1066,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Introduction to Curating Contemporary Art,12,OART1067,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Digital Imaging Strategies,12,VART3638,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Critical Frameworks B,12,VART3616,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Critical Frameworks C,12,VART3617,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Masters Symposium,12,VART3614,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Applied Industry Engagement,12,VART3707,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Fieldwork,12,VART3709,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Themes in Contemporary Creative Practice A,12,VART3711,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Themes in Contemporary Creative Practice B,12,VART3713,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Practicing on Country / with Country,12,VART3715,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Cultural Planning and Evaluation,12,VART3717,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Industry Partnered Studio,12,VART3739,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Studio Skills Specialisation,12,VART3741,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Working in First Peoples contexts: creative partnerships and cultural production,12,OART1103,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Working in Transnational Contexts: Exchange and Collaboration,12,OART1104,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Doing Research for Design and Social Context,12,HUSO2438,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Research for Impact in Design and Social Context,12,HUSO2439,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Creative Practice Research,12,ARCH1429,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Qualitative Research Methods,12,HUSO2362,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Quantitative Research Techniques,12,MATH2256,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Critical and Social Theory,12,SOCU2308,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Masters Research (48cp),48,VART3581,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Masters Research (36cp),36,VART3582,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Masters Research (24cp),24,VART3583,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Masters Research (12cp),12,VART3584,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Doing Research for Design and Social Context,12,HUSO2438,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Research for Impact in Design and Social Context,12,HUSO2439,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Creative Practice Research,12,ARCH1429,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Qualitative Research Methods,12,HUSO2362,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Quantitative Research Techniques,12,MATH2256,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Critical and Social Theory,12,SOCU2308,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
PhD Research (48cp),48,VART3585,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
PhD Research (36cp),36,VART3586,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
PhD Research (24cp),24,VART3587,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
PhD Research (12cp),12,VART3588,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B